session_id,user_id,task,phase,t_ms,type,x,y,pressure,tiltX,tiltY,extra,json
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,33392,pointerup,815,374.1666564941406,0,0,0,{},{"task":"tap_targets";"phase":"run";"type":"pointerup";"t_ms":33392;"x":815;"y":374.1666564941406;"pressure":0;"tiltX":0;"tiltY":0;"pointerType":"touch";"extra":{}}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,33392,tap_up,815,374.1666564941406,0,,,,{"task":"tap_targets";"phase":"run";"type":"tap_up";"t_ms":33392;"x":815;"y":374.1666564941406;"pressure":0;"tiltX":"";"tiltY":"";"duration_ms":1;"errorDistance":31;"hit":true;"pointerType":"touch";"extra":null}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,33605,target_spawn,806,184,,,,,{"task":"tap_targets";"phase":"run";"type":"target_spawn";"t_ms":33605;"x":806;"y":184;"pressure":"";"tiltX":"";"tiltY":"";"radius":35.76131600605777;"extra":null}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,34419,pointerdown,804.1666870117188,195.8333282470703,0.5,0,0,{},{"task":"tap_targets";"phase":"run";"type":"pointerdown";"t_ms":34419;"x":804.1666870117188;"y":195.8333282470703;"pressure":0.5;"tiltX":0;"tiltY":0;"pointerType":"touch";"extra":{}}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,34420,tap_down,804.1666870117188,195.8333282470703,0.5,,,,{"task":"tap_targets";"phase":"run";"type":"tap_down";"t_ms":34420;"x":804.1666870117188;"y":195.8333282470703;"pressure":0.5;"tiltX":"";"tiltY":"";"pointerType":"touch";"extra":null}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,34445,pointerup,804.1666870117188,195.8333282470703,0,0,0,{},{"task":"tap_targets";"phase":"run";"type":"pointerup";"t_ms":34445;"x":804.1666870117188;"y":195.8333282470703;"pressure":0;"tiltX":0;"tiltY":0;"pointerType":"touch";"extra":{}}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,34445,tap_up,804.1666870117188,195.8333282470703,0,,,,{"task":"tap_targets";"phase":"run";"type":"tap_up";"t_ms":34445;"x":804.1666870117188;"y":195.8333282470703;"pressure":0;"tiltX":"";"tiltY":"";"duration_ms":25;"errorDistance":12;"hit":true;"pointerType":"touch";"extra":null}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,34649,target_spawn,696,685,,,,,{"task":"tap_targets";"phase":"run";"type":"target_spawn";"t_ms":34649;"x":696;"y":685;"pressure":"";"tiltX":"";"tiltY":"";"radius":47.91948097960973;"extra":null}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,35441,pointerdown,702.5,693.3333129882812,0.5,0,0,{},{"task":"tap_targets";"phase":"run";"type":"pointerdown";"t_ms":35441;"x":702.5;"y":693.3333129882812;"pressure":0.5;"tiltX":0;"tiltY":0;"pointerType":"touch";"extra":{}}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,35441,tap_down,702.5,693.3333129882812,0.5,,,,{"task":"tap_targets";"phase":"run";"type":"tap_down";"t_ms":35441;"x":702.5;"y":693.3333129882812;"pressure":0.5;"tiltX":"";"tiltY":"";"pointerType":"touch";"extra":null}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,35464,pointermove,702.5,694.1666870117188,0.5,0,0,{"velocity":0.0368749567503687;"dx":0;"dy":0.8333740234375;"dt":22.600000023841858},{"task":"tap_targets";"phase":"run";"type":"pointermove";"t_ms":35464;"x":702.5;"y":694.1666870117188;"pressure":0.5;"tiltX":0;"tiltY":0;"pointerType":"touch";"extra":{"velocity":0.0368749567503687;"dx":0;"dy":0.8333740234375;"dt":22.600000023841858}}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,35487,pointermove,701.6666870117188,696.6666870117188,0.5,0,0,{"velocity":0.11457499782060705;"dx":-0.83331298828125;"dy":2.5;"dt":23},{"task":"tap_targets";"phase":"run";"type":"pointermove";"t_ms":35487;"x":701.6666870117188;"y":696.6666870117188;"pressure":0.5;"tiltX":0;"tiltY":0;"pointerType":"touch";"extra":{"velocity":0.11457499782060705;"dx":-0.83331298828125;"dy":2.5;"dt":23}}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,35491,pointerup,701.6666870117188,696.6666870117188,0,0,0,{},{"task":"tap_targets";"phase":"run";"type":"pointerup";"t_ms":35491;"x":701.6666870117188;"y":696.6666870117188;"pressure":0;"tiltX":0;"tiltY":0;"pointerType":"touch";"extra":{}}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,35491,tap_up,701.6666870117188,696.6666870117188,0,,,,{"task":"tap_targets";"phase":"run";"type":"tap_up";"t_ms":35491;"x":701.6666870117188;"y":696.6666870117188;"pressure":0;"tiltX":"";"tiltY":"";"duration_ms":50;"errorDistance":13;"hit":true;"pointerType":"touch";"extra":null}
s_mhwdz1sp,u_mhwdz1sp_vf3y,tap_targets,run,35705,target_spawn,737,466,,,,,{"task":"tap_targets";"phase":"run";"type":"target_spawn";"t_ms":35705;"x":737;"y":466;"pressure":"";"tiltX":"";"tiltY":"";"radius":49.22526411782088;"extra":null}
